subset,model,error_type,count
PAC-C_binding_capacity,qwen3_8b,partial_triplet,23
PAC-C_binding_capacity,seed_oss_36b,correct,53
PAC-C_binding_capacity,seed_oss_36b,decoy_value_capture,8
PAC-C_binding_capacity,seed_oss_36b,other_error,3
PAC-C_binding_capacity,seed_oss_36b,partial_triplet,8
PAC-D_multihop_false_chain,qwen35_122b_a10b,correct,12
PAC-D_multihop_false_chain,qwen35_27b,correct,12
PAC-D_multihop_false_chain,qwen35_35b_a3b,partial_triplet,12
PAC-D_multihop_false_chain,qwen35_9b,correct,1
PAC-D_multihop_false_chain,qwen35_9b,partial_triplet,11
PAC-D_multihop_false_chain,qwen3_14b_no_thinking,decoy_value_capture,1
PAC-D_multihop_false_chain,qwen3_14b_no_thinking,partial_triplet,11
PAC-D_multihop_false_chain,qwen3_14b_thinking,connection_error_deferred,1
PAC-D_multihop_false_chain,qwen3_14b_thinking,correct,6
PAC-D_multihop_false_chain,qwen3_14b_thinking,partial_triplet,4
PAC-D_multihop_false_chain,qwen3_14b_thinking,request_error,1
PAC-D_multihop_false_chain,qwen3_8b,other_error,12
PAC-D_multihop_false_chain,seed_oss_36b,correct,4
PAC-D_multihop_false_chain,seed_oss_36b,partial_triplet,8
