subset,model,error_type,sample_id,condition,answer,prediction
PAC-A_position,seed_oss_36b,other_error,pac2_A_position_v5_pos10_decoy64_0005,position=10,DFP-X9K-39S|GXU-3KG-4CD|QHM-KBR-VRK,"To solve the problem, we need to follow the audit-style task requirements step-by-step, focusing on the given alias, batch, profile, and cutoff. Here's the breakdown:   ### **Step 1: Identify Active Alias**   The task specifies alias `A=ALIAS-1005-K92`. From the long context, the only active entr..."
PAC-A_position,seed_oss_36b,other_error,pac2_A_position_v5_pos10_decoy64_0008,position=10,LWB-U4W-E79|T9H-NDT-83G|T59-2N9-7H3,"To solve the problem, we need to follow a structured approach based on the provided context and requirements:   ### **Step 1: Resolve the Active Alias**   The task specifies alias `A=ALIAS-1008-M19`. From the long context, the active alias entry is:   `M|A=ALIAS-1008-M19|E=Huadong-Yiyao-Lenglian-..."
PAC-A_position,seed_oss_36b,partial_triplet,pac2_A_position_v5_pos50_decoy64_0006,position=50,7Z7-A92-NFK|JF3-PC9-CPG|J96-6HV-6PA,JF3-PC9-CPG|7Z7-A92-NFK|J96-6HV-6PA
PAC-A_position,seed_oss_36b,partial_triplet,pac2_A_position_v5_pos50_decoy64_0010,position=50,47H-JBQ-UV8|SFU-MBN-2T5|33E-NKS-8FN,47H-JBQ-UV8|33E-NKS-8FN|SFU-MBN-2T5
PAC-B_interference,qwen35_9b,decoy_value_capture,pac2_B_interference_v5_decoy016_0001,decoy_count=16,6EL-HSZ-LPQ|JV7-9S3-65P|ZC4-ZQ3-NB9,6EL-HSZ-7PQ|6EL-HSZ-LPQ|JV7-9S3-65P
PAC-B_interference,qwen35_9b,decoy_value_capture,pac2_B_interference_v5_decoy016_0002,decoy_count=16,KJU-REE-G5R|AAF-AYY-K2J|WC9-LBQ-KCH,WC9-LBP-KCH|AAF-AXY-K2J|AAF-AYY-K2J
PAC-B_interference,qwen35_9b,partial_triplet,pac2_B_interference_v5_decoy000_0010,decoy_count=0,3RR-TL4-G3N|7R5-P44-BNT|658-5GZ-6NU,658-5GZ-6NU|7R5-P44-BNT|3RR-TL4-G3N
PAC-B_interference,qwen35_9b,partial_triplet,pac2_B_interference_v5_decoy032_0003,decoy_count=32,PC9-ZEQ-S3Z|EQC-5XY-YK2|UZ2-BBE-KYE,EQC-5XY-YK2|PC9-ZEQ-S3Z|UZ2-BBE-KYE
PAC-B_interference,qwen3_8b,decoy_value_capture,pac2_B_interference_v5_decoy016_0004,decoy_count=16,QFE-YL4-SP6|Q6C-A2V-UNW|BDW-K7K-K93,Q6C-A2V-UNW|QFE-YL4-SP6|QFE-LL4-SP6
PAC-B_interference,qwen3_8b,decoy_value_capture,pac2_B_interference_v5_decoy016_0006,decoy_count=16,JL9-4RV-2BL|8NU-MJL-CC3|WPJ-FHV-PZQ,8NU-MAL-CC3|JL9-4RV-2BL|WPJ-FH6-PZQ
PAC-B_interference,qwen3_8b,other_error,pac2_B_interference_v5_decoy000_0000,decoy_count=0,PPB-ZJC-ZTJ|V6J-UU7-SHQ|AX7-6DG-ZAR,"To determine the final three-part route triplet for alias A=ALIAS-000-C59, batch Q=B040-night-01, and approved profile PID=PROFILE-N569 with cutoff T<23:50, we need to follow the rules and filter the evidence accordingly.  ### Step 1: Identify the active alias From the long context, the alias A=A..."
PAC-B_interference,qwen3_8b,other_error,pac2_B_interference_v5_decoy000_0001,decoy_count=0,A5E-LY3-73E|KUP-WPJ-7EM|QB9-DY6-LLJ,"To determine the final three-part route triplet for alias A=ALIAS-001-M73, batch Q=B041-morning-02, and approved profile PID=PROFILE-B845, we need to follow the rules and filter the evidence accordingly.  ### Step 1: Filter by active alias From the alias lines, we identify the active alias: - `M|..."
PAC-B_interference,qwen3_8b,partial_triplet,pac2_B_interference_v5_decoy000_0002,decoy_count=0,ZYE-YP4-44L|DT7-ECQ-FT5|ME4-SF3-TPQ,ME4-SF3-TPQ|DT7-ECQ-FT5|ZYE-YP4-44L
PAC-B_interference,qwen3_8b,partial_triplet,pac2_B_interference_v5_decoy000_0009,decoy_count=0,8NV-C6D-73S|JUE-MSL-6HG|64T-DUJ-TRG,64T-DUJ-TRG|JUE-MSL-6HG|8NV-C6D-73S
PAC-B_interference,qwen35_27b,decoy_value_capture,pac2_B_interference_v5_decoy016_0001,decoy_count=16,6EL-HSZ-LPQ|JV7-9S3-65P|ZC4-ZQ3-NB9,6EL-HSZ-LPQ|6EL-VSZ-LPQ|ZC4-ZQ3-NB9
PAC-B_interference,qwen35_27b,decoy_value_capture,pac2_B_interference_v5_decoy016_0002,decoy_count=16,KJU-REE-G5R|AAF-AYY-K2J|WC9-LBQ-KCH,GJU-REE-G5R|AAF-AYY-K2J|WC9-LBQ-KCH
PAC-B_interference,qwen35_27b,partial_triplet,pac2_B_interference_v5_decoy000_0011,decoy_count=0,ES9-K2D-C4E|PGP-UUB-WML|W7Q-HAQ-EHR,W7Q-HAQ-EHR|PGP-UUB-WML|ES9-K2D-C4E
PAC-B_interference,qwen35_27b,partial_triplet,pac2_B_interference_v5_decoy016_0000,decoy_count=16,63D-TFB-EBL|99X-4BH-QWT|8KJ-F4C-ABP,99X-4BH-QWT|63D-TFB-EBL|8KJ-F4C-ABP
PAC-B_interference,qwen35_35b_a3b,decoy_value_capture,pac2_B_interference_v5_decoy016_0004,decoy_count=16,QFE-YL4-SP6|Q6C-A2V-UNW|BDW-K7K-K93,QFC-A2V-UNW|BDW-K7K-K93|QFE-YL4-SP6
PAC-B_interference,qwen35_35b_a3b,decoy_value_capture,pac2_B_interference_v5_decoy016_0005,decoy_count=16,S6J-7AE-D4A|AEY-TW8-BX6|ATE-2A2-KHK,AEY-TW8-BX6|S6J-7AE-E4A|ATE-2A2-KHK
PAC-B_interference,qwen35_35b_a3b,partial_triplet,pac2_B_interference_v5_decoy000_0006,decoy_count=0,2C2-A3L-YRQ|787-RZ4-7LK|YJW-9WJ-L3P,787-RZ4-7LK|YJW-9WJ-L3P|2C2-A3L-YRQ
PAC-B_interference,qwen35_35b_a3b,partial_triplet,pac2_B_interference_v5_decoy000_0010,decoy_count=0,3RR-TL4-G3N|7R5-P44-BNT|658-5GZ-6NU,658-5GZ-6NU|7R5-P44-BNT|3RR-TL4-G3N
PAC-B_interference,qwen35_122b_a10b,decoy_value_capture,pac2_B_interference_v5_decoy016_0001,decoy_count=16,6EL-HSZ-LPQ|JV7-9S3-65P|ZC4-ZQ3-NB9,6EL-HSZ-LPQ|6EL-VSZ-LPQ|ZC4-ZQ3-NB9
PAC-B_interference,qwen35_122b_a10b,decoy_value_capture,pac2_B_interference_v5_decoy016_0003,decoy_count=16,EA9-MSL-73P|P2B-LUD-QTL|62R-4DU-32V,EA9-MSL-73P|PVB-LUD-QTL|62R-4DU-32V
PAC-B_interference,qwen35_122b_a10b,partial_triplet,pac2_B_interference_v5_decoy000_0002,decoy_count=0,ZYE-YP4-44L|DT7-ECQ-FT5|ME4-SF3-TPQ,ME4-SF3-TPQ|DT7-ECQ-FT5|ZYE-YP4-44L
PAC-B_interference,qwen35_122b_a10b,partial_triplet,pac2_B_interference_v5_decoy000_0006,decoy_count=0,2C2-A3L-YRQ|787-RZ4-7LK|YJW-9WJ-L3P,787-RZ4-7LK|YJW-9WJ-L3P
PAC-B_interference,qwen3_14b_no_thinking,decoy_value_capture,pac2_B_interference_v5_decoy016_0000,decoy_count=16,63D-TFB-EBL|99X-4BH-QWT|8KJ-F4C-ABP,8K2-F4C-ABP|63D-TFB-EBL|8KJ-F4C-ABP
PAC-B_interference,qwen3_14b_no_thinking,decoy_value_capture,pac2_B_interference_v5_decoy016_0001,decoy_count=16,6EL-HSZ-LPQ|JV7-9S3-65P|ZC4-ZQ3-NB9,6EL-HSZ-7PQ|ZC4-ZQ3-NBD|6EL-HSZ-LPQ
PAC-B_interference,qwen3_14b_no_thinking,partial_triplet,pac2_B_interference_v5_decoy000_0002,decoy_count=0,ZYE-YP4-44L|DT7-ECQ-FT5|ME4-SF3-TPQ,ME4-SF3-TPQ|DT7-ECQ-FT5|ZYE-YP4-44L
PAC-B_interference,qwen3_14b_no_thinking,partial_triplet,pac2_B_interference_v5_decoy000_0010,decoy_count=0,3RR-TL4-G3N|7R5-P44-BNT|658-5GZ-6NU,658-5GZ-6NU|7R5-P44-BNT|3RR-TL4-G3N
PAC-B_interference,qwen3_14b_thinking,decoy_value_capture,pac2_B_interference_v5_decoy016_0001,decoy_count=16,6EL-HSZ-LPQ|JV7-9S3-65P|ZC4-ZQ3-NB9,6EL-HSZ-LPQ|6EL-VSZ-LPQ|ZC4-ZQ3-NB9
PAC-B_interference,qwen3_14b_thinking,decoy_value_capture,pac2_B_interference_v5_decoy016_0009,decoy_count=16,52K-PYH-K9H|PQ9-NAN-YLM|LY2-Y7F-AJB,52K-PYH-K9H|52K-EYH-K9H|LY2-Y7F-AJB
PAC-B_interference,seed_oss_36b,decoy_value_capture,pac2_B_interference_v5_decoy016_0004,decoy_count=16,QFE-YL4-SP6|Q6C-A2V-UNW|BDW-K7K-K93,QFE-YL4-SP6|QFE-LL4-SP6|BDW-K7K-K93
PAC-B_interference,seed_oss_36b,decoy_value_capture,pac2_B_interference_v5_decoy032_0004,decoy_count=32,K6K-L3G-4FF|XJ2-FBX-72Y|NVE-6HK-V86,K6K-G3G-4FF|XJ2-FBX-74Y|NVE-6HK-V86
PAC-B_interference,seed_oss_36b,other_error,pac2_B_interference_v5_decoy016_0002,decoy_count=16,KJU-REE-G5R|AAF-AYY-K2J|WC9-LBQ-KCH,"To solve the problem, we need to follow the audit-style task requirements step-by-step, focusing on active aliases, approved profiles, valid evidence, and the latest data before the cutoff. Here's the breakdown:   ### **Step 1: Identify Active Alias**   The alias **A=ALIAS-1602-G93** maps to **E=..."
PAC-B_interference,seed_oss_36b,other_error,pac2_B_interference_v5_decoy032_0002,decoy_count=32,7LX-9EV-AHV|LSE-GVM-648|2KR-6KN-F8H,"To solve the problem, we need to follow a structured approach based on the provided context and requirements:   ### **Step 1: Identify the Active Alias**   The task specifies alias `A=ALIAS-3202-N81`. From the long context, we find:   - `M|A=ALIAS-3202-N81|E=Huadong-Yiyao-Lenglian-Zhongxin-643|AS..."
PAC-B_interference,seed_oss_36b,partial_triplet,pac2_B_interference_v5_decoy016_0008,decoy_count=16,MF4-L87-3L2|V8N-9AU-UMR|EH6-HL7-PNZ,EH6-HL7-PNZ|MF4-L87-3L2|V8N-9AU-UMR
PAC-B_interference,seed_oss_36b,partial_triplet,pac2_B_interference_v5_decoy032_0006,decoy_count=32,KMC-FZ4-86B|KEV-8GH-UZS|6CG-VEK-J5Y,6CG-VEK-J5Y|KMC-FZ4-86B|KEV-8GH-UZS
PAC-C_binding_capacity,qwen35_9b,decoy_value_capture,pac2_C_binding_v5_K16_Q05_0003,binding_k/query_count=16/5,XM2-JWJ-3M9|M5S-LLE-99P|TJB-PEU-EDB|UP3-287-S9K|T6X-4HG-MNQ,342-3S4-23A|M5S-LLE-99P|TJB-PEU-EDB|D9Q-7TW-GAU|T6X-5HG-MNQ
PAC-C_binding_capacity,qwen35_9b,decoy_value_capture,pac2_C_binding_v5_K16_Q05_0004,binding_k/query_count=16/5,7UE-XSZ-T3H|GEB-JKK-LG8|ZM6-9ZZ-J4K|M3Q-6GJ-7Y4|VBK-XA9-FWN,7UE-XSZ-T3H|GEB-JKK-LG8|ZM6-9ZZ-J4K|M3Q-6GJ-7YN|VBK-XA9-FWN
PAC-C_binding_capacity,qwen35_9b,other_error,pac2_C_binding_v5_K16_Q08_0001,binding_k/query_count=16/8,T6W-84C-EHR|D8Y-ZAG-6DM|7M8-7VE-QJV|SRA-RUX-UD5|AZ3-QBT-3BQ|WTM-X2Y-CTM|ZYH-DRW-W5F|UPP-JZ6-F3C,Huanan-Yiyao-Lenglian-Zhongxin-101|Huadong-Yiliao-Lenglian-Zhongxin-102|Huanan-Yiyao-Lenglian-Zhongxin-106|Huadong-Yiliao-Lenglian-Zhongxin-107|Huadong-Yiyao-Lenglian-Zhongxin-110|Huanan-Yiyao-Lenglian-Zhongxin-111|Huazhong-Yiyao-Lenglian-Zhongxin-114|Huadong-Yiyao-Lenglian-Zhongxin-115
PAC-C_binding_capacity,qwen35_9b,partial_triplet,pac2_C_binding_v5_K16_Q03_0000,binding_k/query_count=16/3,VSW-W26-B4C|UQB-CG7-AG5|YT8-85F-XVW,HCV-NF7-4JZ|UQB-CG7-AG5|YT8-85F-XVW
PAC-C_binding_capacity,qwen35_9b,partial_triplet,pac2_C_binding_v5_K16_Q03_0002,binding_k/query_count=16/3,MZD-PYM-4XZ|ZPA-322-FXA|FZT-ZC9-TBG,LA4-C7C-FAS|ZPA-322-FXA|FZT-ZC9-TBG
PAC-C_binding_capacity,qwen35_35b_a3b,decoy_value_capture,pac2_C_binding_v5_K16_Q05_0004,binding_k/query_count=16/5,7UE-XSZ-T3H|GEB-JKK-LG8|ZM6-9ZZ-J4K|M3Q-6GJ-7Y4|VBK-XA9-FWN,7UE-XSZ-T3H|GEB-JKK-LG8|ZM6-9ZZ-J4K|M3Q-6GJ-7YN|VBK-XA9-FWN
PAC-C_binding_capacity,qwen35_35b_a3b,decoy_value_capture,pac2_C_binding_v5_K16_Q05_0005,binding_k/query_count=16/5,9UA-78F-4ED|7S9-FDS-7BN|7DP-KYX-38V|SY5-EPF-G64|HPG-3ZZ-6U7,9UA-K8F-4ED|7S9-FDS-7BN|7DP-KYX-38V|SY5-EPF-G64|HPG-3ZZ-6U7
PAC-C_binding_capacity,qwen35_35b_a3b,partial_triplet,pac2_C_binding_v5_K16_Q03_0000,binding_k/query_count=16/3,VSW-W26-B4C|UQB-CG7-AG5|YT8-85F-XVW,6V9-5C2-VRG|UQB-CG7-AG5|YT8-85F-XVW
PAC-C_binding_capacity,qwen35_35b_a3b,partial_triplet,pac2_C_binding_v5_K16_Q03_0002,binding_k/query_count=16/3,MZD-PYM-4XZ|ZPA-322-FXA|FZT-ZC9-TBG,LA4-C7C-FAS|ZPA-322-FXA|FZT-ZC9-TBG
PAC-C_binding_capacity,qwen35_122b_a10b,decoy_value_capture,pac2_C_binding_v5_K16_Q03_0006,binding_k/query_count=16/3,666-5ES-EM4|KY5-D27-AKF|LTM-FHC-KZB,666-5DS-EM4|KY5-D27-AKF|LTM-FHC-KZB
PAC-C_binding_capacity,qwen35_122b_a10b,decoy_value_capture,pac2_C_binding_v5_K16_Q08_0004,binding_k/query_count=16/8,PMR-J5H-BNT|VJF-555-LQL|HBS-VCK-9FC|RNB-VFH-CMX|AND-ZUJ-XFJ|YZ2-KEZ-WTS|MDP-YDA-4VA|6MW-CLA-FMU,PMR-J5H-CNT|VJF-555-DQL|HBS-VCK-9FC|RNB-VFH-QMX|AND-ZUJ-XFJ|YZ2-KEZ-WTS|MDP-YDA-4VX|6MW-CLA-FMU
PAC-C_binding_capacity,qwen35_122b_a10b,partial_triplet,pac2_C_binding_v5_K16_Q03_0002,binding_k/query_count=16/3,MZD-PYM-4XZ|ZPA-322-FXA|FZT-ZC9-TBG,LA4-C7C-FAS|ZPA-322-FXA|FZT-ZC9-TBG
PAC-C_binding_capacity,qwen35_122b_a10b,partial_triplet,pac2_C_binding_v5_K16_Q03_0007,binding_k/query_count=16/3,XCN-3N2-S2E|6NS-UZT-DS2|QQR-M4S-LLG,53H-MG3-9W5|6NS-UZT-DS2|QQR-M4S-LLG
PAC-C_binding_capacity,qwen3_14b_no_thinking,decoy_value_capture,pac2_C_binding_v5_K16_Q03_0000,binding_k/query_count=16/3,VSW-W26-B4C|UQB-CG7-AG5|YT8-85F-XVW,HCV-NF7-4JZ|UQ2-CG7-AG5|YT8-85F-XVG
PAC-C_binding_capacity,qwen3_14b_no_thinking,decoy_value_capture,pac2_C_binding_v5_K16_Q03_0002,binding_k/query_count=16/3,MZD-PYM-4XZ|ZPA-322-FXA|FZT-ZC9-TBG,LA4-C7C-FAS|ZPA-322-FXA|M3D-PYM-4XZ
PAC-C_binding_capacity,qwen3_14b_no_thinking,partial_triplet,pac2_C_binding_v5_K16_Q03_0003,binding_k/query_count=16/3,BH4-C9J-H4X|YT5-9CP-2PE|NDE-VCM-UNR,BH4-C9J-H4X|CDV-T9M-ELP|MGU-USQ-NMY
PAC-C_binding_capacity,qwen3_14b_no_thinking,partial_triplet,pac2_C_binding_v5_K16_Q05_0006,binding_k/query_count=16/5,B76-MPU-NGG|MGV-KG8-LC8|KWZ-V3V-M5N|L54-QUX-H2E|CZ7-BNJ-T46,B76-MPU-NGG|LM9-9U3-XFU|KWZ-V3V-M5N|L54-QUX-H2E|AXA-DY6-A8U
PAC-C_binding_capacity,qwen3_14b_thinking,decoy_value_capture,pac2_C_binding_v5_K16_Q03_0003,binding_k/query_count=16/3,BH4-C9J-H4X|YT5-9CP-2PE|NDE-VCM-UNR,BH4-C9J-H4X|YT5-9CP-2PE|NBE-VCM-UNR
PAC-C_binding_capacity,qwen3_14b_thinking,decoy_value_capture,pac2_C_binding_v5_K16_Q03_0007,binding_k/query_count=16/3,XCN-3N2-S2E|6NS-UZT-DS2|QQR-M4S-LLG,XCN-3N2-S4E|6NS-UZT-DS2|QQR-M4S-LLG
PAC-C_binding_capacity,qwen3_14b_thinking,partial_triplet,pac2_C_binding_v5_K16_Q08_0005,binding_k/query_count=16/8,HCP-A2R-TU9|K4M-WAK-638|DK8-EX9-BPS|LHS-5N4-HK8|4AN-B4J-Z8N|YQJ-646-B2G|YLT-BLK-V5S|93J-AEX-BN8,K4M-WAK-638|DK8-EX9-BPS|LHS-5N4-HK8|4AN-B4J-Z8N|YQJ-646-B2G|YLT-BLK-V5S|93J-AEX-BN8
PAC-C_binding_capacity,qwen3_14b_thinking,partial_triplet,pac2_C_binding_v5_K16_Q08_0007,binding_k/query_count=16/8,TEU-K3C-XT3|MWE-8VL-Z5W|BLB-5ES-T5C|JJ8-QRG-EJF|LRJ-TX6-GJA|86T-MQ2-LAY|GSD-V6X-7UG|D68-KKN-Y39,TEU-K3C-XT3|MWE-8VL-Z5W|P6Q-YW2-W2S|JJ8-QRG-EJF|LRJ-TX6-GJA|86T-MQ2-LAY|GSD-V6X-7UG|D68-KKN-Y39
PAC-C_binding_capacity,seed_oss_36b,decoy_value_capture,pac2_C_binding_v5_K32_Q03_0000,binding_k/query_count=32/3,6PN-DH8-CEG|FVM-VDV-KT9|X4F-U3B-WA7,6PN-DH8-CEG|FVM-VDN-KT9|X4F-U3B-WA7
PAC-C_binding_capacity,seed_oss_36b,decoy_value_capture,pac2_C_binding_v5_K32_Q05_0002,binding_k/query_count=32/5,LM3-4P5-CS4|VUU-GBK-JR5|JZY-NV6-J8U|HUE-EQS-VJM|Q86-U9P-L8R,LM3-4P5-CS4|VUU-GBK-JR5|8ZY-NV6-J8U|HUE-EQS-VJM|Q86-U9P-L8R
PAC-C_binding_capacity,seed_oss_36b,other_error,pac2_C_binding_v5_K32_Q05_0003,binding_k/query_count=32/5,4MK-MAZ-LDW|4F5-9LM-U7X|AMR-9LQ-3FP|EDE-2AA-NTU|RAZ-XA4-M8Y,"To solve the problem, we need to follow these steps:   ### **Step 1: Identify Active Aliases**   First, we filter for active aliases from the ""M"" entries (alias-entity mappings) that match the requested aliases:   - **C-ALIAS-2503-006-R45**: Active (maps to `Huanan-Yiyao-Lenglian-Zhongxin-106`). ..."
