subset,model,sample_id,condition_name,condition_value,success,score,score_all,field_accuracy,error_type,latency_sec,prompt_tokens,completion_tokens,answer_excerpt,prediction_excerpt,error_excerpt,source_file
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos10_decoy64_0014,position,10,True,0.0,0.0,0.3333,partial_triplet,5.126003,36226.0,27.0,6TN-7ML-SQ9|3JS-NKE-KFU|GFC-FA6-KVJ,6TN-7ML-SQ9|6TN-7ML-SQ9|6TN-7ML-SQ9,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0000,position,25,True,0.0,0.0,0.6667,decoy_value_capture,14.436454,36213.0,26.0,RYG-QQX-AZA|LL9-NEH-TD6|PXB-N3B-6CK,RYG-QQX-AZA|PX9-N3B-6CK|PXB-N3B-6CK,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0001,position,25,True,1.0,1.0,1.0,correct,5.1183,36212.0,24.0,PUQ-SW5-JBW|GEA-FFJ-PQM|R9Y-NPY-SZ8,PUQ-SW5-JBW|GEA-FFJ-PQM|R9Y-NPY-SZ8,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0002,position,25,True,1.0,1.0,1.0,correct,6.530649,36184.0,30.0,J7B-X2F-4LZ|AGA-8M3-RRD|5PQ-DY9-4UZ,J7B-X2F-4LZ|AGA-8M3-RRD|5PQ-DY9-4UZ,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0003,position,25,True,1.0,1.0,1.0,correct,11.274441,36213.0,27.0,9EH-KK2-6MW|FAH-K2C-F5L|HNR-PPF-MSF,9EH-KK2-6MW|FAH-K2C-F5L|HNR-PPF-MSF,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0004,position,25,True,0.0,0.0,0.3333,partial_triplet,14.38806,36228.0,24.0,RFV-8A3-C7B|PUQ-JEY-A26|2JV-WXX-ALX,2JV-WXX-ALX|2JV-WXX-ALX|2JV-WXX-ALX,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0005,position,25,True,1.0,1.0,1.0,correct,5.381752,36215.0,25.0,TYR-3MR-5W9|CXV-BRW-ZYB|ES8-RLF-SAR,TYR-3MR-5W9|CXV-BRW-ZYB|ES8-RLF-SAR,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0006,position,25,True,0.0,0.0,0.0,decoy_value_capture,14.065873,36225.0,30.0,A6J-2ZH-HNH|L5V-AY4-A9W|Y37-A6H-D9N,Y37-A6Y-D9N|L5V-AY4-APW|A6J-2ZH-5NH,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0007,position,25,True,0.0,0.0,1.0,partial_triplet,10.263382,36229.0,27.0,V7K-FLD-KN4|LHF-XL7-HAX|6Y8-MCG-F48,LHF-XL7-HAX|V7K-FLD-KN4|6Y8-MCG-F48,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0008,position,25,True,1.0,1.0,1.0,correct,4.472073,36284.0,26.0,EFA-M28-B32|NP2-57P-HJB|BJK-TCL-9MQ,EFA-M28-B32|NP2-57P-HJB|BJK-TCL-9MQ,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0009,position,25,True,1.0,1.0,1.0,correct,6.987523,36224.0,28.0,Y4P-PC7-9MS|53F-YB3-JGX|UNX-Y5N-G6Z,Y4P-PC7-9MS|53F-YB3-JGX|UNX-Y5N-G6Z,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0010,position,25,True,0.0,0.0,0.3333,decoy_value_capture,9.061048,36199.0,28.0,8GV-NBL-GBQ|WS6-MY3-8R2|GH7-M7U-CF5,GH7-M7B-CF5|8GV-2BL-GBQ|WS6-MY3-8R2,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0011,position,25,True,0.0,0.0,0.3333,decoy_value_capture,7.079378,36244.0,27.0,JEW-4JS-Y9J|9FK-9FH-MKW|C58-H7B-UPF,JEW-4JS-Y9J|9FK-9FH-MNW|C58-H7Q-UPF,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0012,position,25,True,1.0,1.0,1.0,correct,6.381474,36290.0,28.0,V45-RUN-H84|E99-MZG-VFJ|K9Q-LDN-DG4,V45-RUN-H84|E99-MZG-VFJ|K9Q-LDN-DG4,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0013,position,25,True,0.0,0.0,0.6667,partial_triplet,4.787895,36319.0,29.0,ERB-EX7-D2F|884-CRW-J2B|WC6-93S-736,884-CRW-J2B|884-CRW-J2B|WC6-93S-736,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos25_decoy64_0014,position,25,True,0.0,0.0,1.0,partial_triplet,8.48311,36204.0,29.0,QP6-GQM-HS4|C9K-WZC-W6L|H4Z-6M9-V2T,H4Z-6M9-V2T|QP6-GQM-HS4|C9K-WZC-W6L,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0000,position,50,True,0.0,0.0,0.0,decoy_value_capture,7.969876,36264.0,25.0,PB5-Z25-C39|EKE-GC8-NAU|XRR-BXB-MF6,EKE-GC8-NTU|XRR-BXB-MFU|NB5-Z25-C39,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0001,position,50,True,1.0,1.0,1.0,correct,5.170103,36238.0,29.0,C7V-KUN-UY6|F9Q-RRJ-W84|2TP-8VY-BJ6,C7V-KUN-UY6|F9Q-RRJ-W84|2TP-8VY-BJ6,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0002,position,50,True,0.0,0.0,0.6667,partial_triplet,5.855917,36249.0,29.0,LTD-28E-YDJ|W83-STS-HJD|7BQ-7NV-GK6,7BQ-7NV-GK6|LTD-28E-YDJ|7BQ-7NV-GK6,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0003,position,50,True,0.0,0.0,0.6667,partial_triplet,5.535313,36303.0,28.0,F89-W7G-KMT|M95-ABD-76Y|PCD-NXR-593,F89-W7G-KMT|M95-ABD-76Y|F89-W7G-KMT,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0004,position,50,True,0.0,0.0,0.6667,partial_triplet,14.659592,36274.0,29.0,H3T-SLT-GJW|JLW-WQD-957|N5E-P66-CAQ,H3T-SLT-GJW|N5E-P66-CAQ|N5E-P66-CAQ,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0005,position,50,True,0.0,0.0,0.6667,decoy_value_capture,6.817795,36207.0,28.0,A2M-QRM-WVY|VWY-8GK-3JC|G5T-LCB-RFT,G5T-LCB-RF3|VWY-8GK-3JC|G5T-LCB-RFT,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0006,position,50,True,0.0,0.0,0.6667,decoy_value_capture,5.954008,36240.0,28.0,7Z7-A92-NFK|JF3-PC9-CPG|J96-6HV-6PA,JA3-PC9-CPG|7Z7-A92-NFK|J96-6HV-6PA,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0007,position,50,True,0.0,0.0,0.3333,decoy_value_capture,8.684579,36253.0,27.0,9ND-R39-C5Y|Q8Y-7CU-4QN|PXS-YSN-27F,9ND-R39-S5Y|9ND-A39-C5Y|9ND-R39-C5Y,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0008,position,50,True,0.0,0.0,1.0,partial_triplet,7.123192,36207.0,27.0,BW5-EXN-YZD|SKJ-9PR-74V|YV2-WHH-RUH,YV2-WHH-RUH|BW5-EXN-YZD|SKJ-9PR-74V,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0009,position,50,True,0.0,0.0,0.3333,decoy_value_capture,8.446561,36213.0,27.0,T2V-J2J-RZC|4QZ-BH8-JPH|W5X-FBH-APC,4MZ-BH8-JPH|4VZ-BH8-JPH|T2V-J2J-RZC,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0010,position,50,True,0.0,0.0,0.3333,partial_triplet,6.451735,36243.0,30.0,47H-JBQ-UV8|SFU-MBN-2T5|33E-NKS-8FN,47H-JBQ-UV8|47H-JBQ-UV8|47H-JBQ-UV8,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0011,position,50,True,0.0,0.0,0.3333,decoy_value_capture,7.182811,36244.0,27.0,PGB-276-C4Y|8SR-6HC-PBE|5VT-JBT-8US,PGB-N76-C4Y|5VT-JBA-8US|PGB-276-C4Y,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0012,position,50,True,1.0,1.0,1.0,correct,5.188894,36220.0,27.0,75T-E7M-JKZ|9CA-UJP-K9W|4QX-GA3-PCH,75T-E7M-JKZ|9CA-UJP-K9W|4QX-GA3-PCH,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0013,position,50,True,0.0,0.0,1.0,partial_triplet,10.775632,36201.0,25.0,WCJ-WFH-AJU|3RF-YJF-A6L|T42-ZV7-BUL,3RF-YJF-A6L|WCJ-WFH-AJU|T42-ZV7-BUL,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos50_decoy64_0014,position,50,True,0.0,0.0,0.0,decoy_value_capture,5.451972,36221.0,30.0,TDC-XC9-XTN|UK7-X3W-7GJ|TTZ-EGG-87A,TTV-EGG-87A|UK7-X3W-7LJ|TTE-EGG-87A,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0000,position,75,True,0.0,0.0,1.0,partial_triplet,7.182542,36217.0,26.0,WA4-H5M-PVG|LYQ-4PK-Q7F|H3J-NMX-X3P,H3J-NMX-X3P|WA4-H5M-PVG|LYQ-4PK-Q7F,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0001,position,75,True,0.0,0.0,1.0,partial_triplet,5.29785,36179.0,25.0,KET-TLQ-VLB|PRV-Z5P-Q2C|DD7-3ZN-7BP,PRV-Z5P-Q2C|DD7-3ZN-7BP|KET-TLQ-VLB,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0002,position,75,True,0.0,0.0,0.6667,partial_triplet,29.814733,36229.0,27.0,DRN-EST-QV8|K58-AEL-R6D|LQA-UEX-B9T,K58-AEL-R6D|K58-AEL-R6D|LQA-UEX-B9T,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0003,position,75,True,0.0,0.0,0.6667,partial_triplet,6.480762,36228.0,26.0,QXP-KQ7-L6U|4GM-NRF-X6Y|SGU-MGS-6UC,QXP-KQ7-L6U|QXP-KQ7-L6U|SGU-MGS-6UC,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0004,position,75,True,0.0,0.0,1.0,partial_triplet,7.019681,36225.0,26.0,S2W-DT3-AT5|6NT-D47-JHF|3ND-EA9-TBY,6NT-D47-JHF|3ND-EA9-TBY|S2W-DT3-AT5,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0005,position,75,True,0.0,0.0,0.3333,partial_triplet,5.362939,36214.0,24.0,H3M-MPJ-CFD|W6A-STY-XER|YNW-ZAQ-9FR,W6A-STY-XER|W6A-STY-XER|W6A-STY-XER,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0006,position,75,True,0.0,0.0,0.6667,decoy_value_capture,4.760154,36251.0,29.0,5UG-XQV-EQJ|25Z-4C4-FP3|4CM-S63-TPN,5UG-XQV-EQJ|4CH-S63-TPN|25Z-4C4-FP3,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0007,position,75,True,0.0,0.0,0.3333,decoy_value_capture,9.603796,36203.0,27.0,NBQ-D6D-N7K|TNW-JKC-Y4K|PXT-PA5-UC7,NBQ-D6D-57K|TNW-JKC-YYK|PXT-PA5-UC7,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0008,position,75,True,0.0,0.0,0.0,decoy_value_capture,6.254035,36218.0,24.0,9GX-TRD-DJ6|CF7-WER-XUX|LYQ-3WA-UZT,LYQ-3WA-UZF|LYQ-3WA-UZF|LYQ-3WA-UZF,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0009,position,75,True,0.0,0.0,0.0,decoy_value_capture,7.146063,36221.0,27.0,VWT-KB4-TZK|XH4-PLE-9MB|LH6-P2N-KHA,XH4-P7E-9MB|LH6-P24-KHA|LH6-P28-KHA,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0010,position,75,True,0.0,0.0,1.0,partial_triplet,8.715431,36237.0,28.0,A3M-RJM-QBL|D8S-5R7-RKN|KD3-39B-P2U,D8S-5R7-RKN|KD3-39B-P2U|A3M-RJM-QBL,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0011,position,75,True,0.0,0.0,0.0,decoy_value_capture,7.274333,36245.0,27.0,JQB-9BW-725|CXR-BGE-KN3|UGJ-P5M-CY2,JQB-LBW-725|UGW-P5M-CY2|JQB-9BW-R25,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0012,position,75,True,1.0,1.0,1.0,correct,8.605594,36220.0,29.0,C9N-9P2-ZXF|Y2Q-4MN-PD2|S3Y-K8F-WAS,C9N-9P2-ZXF|Y2Q-4MN-PD2|S3Y-K8F-WAS,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0013,position,75,True,0.0,0.0,1.0,partial_triplet,6.187505,36231.0,31.0,K65-YGQ-LX2|U4M-8YN-XPZ|J4X-67M-BX5,U4M-8YN-XPZ|J4X-67M-BX5|K65-YGQ-LX2,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos75_decoy64_0014,position,75,True,0.0,0.0,0.3333,decoy_value_capture,9.32298,36213.0,27.0,7YG-WM3-LYQ|7LR-FN6-LNF|JZQ-Z85-KSS,7YG-BM3-LYQ|7YG-WM3-PYQ|7YG-WM3-LYQ,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0000,position,90,True,1.0,1.0,1.0,correct,9.920179,36249.0,26.0,TY5-GYT-F95|LVU-3CX-TVF|K5P-C5K-E3X,TY5-GYT-F95|LVU-3CX-TVF|K5P-C5K-E3X,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0001,position,90,True,0.0,0.0,0.6667,decoy_value_capture,6.401193,36246.0,25.0,P2L-245-8HA|QNM-Y5S-CVT|UJ5-9AZ-QAG,QUM-Y5S-CVT|QNM-Y5S-CVT|UJ5-9AZ-QAG,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0002,position,90,True,0.0,0.0,0.6667,partial_triplet,5.713877,36210.0,26.0,2NE-UMT-MMW|SZF-WXT-CPN|XV6-MN6-M5Z,XV6-MN6-M5Z|SZF-WXT-CPN|SZF-WXT-CPN,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0003,position,90,True,0.0,0.0,1.0,partial_triplet,6.644585,36237.0,27.0,MAW-KQX-UYV|GRE-2FW-WYU|59X-W2S-AJH,59X-W2S-AJH|MAW-KQX-UYV|GRE-2FW-WYU,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0004,position,90,True,1.0,1.0,1.0,correct,7.968858,36220.0,26.0,SWW-WXA-BQ2|B86-2DR-4EF|DGQ-PLP-RNJ,SWW-WXA-BQ2|B86-2DR-4EF|DGQ-PLP-RNJ,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0005,position,90,True,1.0,1.0,1.0,correct,6.909333,36245.0,25.0,9YP-DYU-F33|WHL-5R5-YDP|5GU-ZNZ-KGN,9YP-DYU-F33|WHL-5R5-YDP|5GU-ZNZ-KGN,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0006,position,90,True,0.0,0.0,1.0,partial_triplet,6.077263,36217.0,29.0,5ZQ-8G7-2AM|VQN-28U-DTX|3JN-J8V-GHQ,3JN-J8V-GHQ|5ZQ-8G7-2AM|VQN-28U-DTX,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0007,position,90,True,0.0,0.0,0.6667,partial_triplet,6.061827,36202.0,26.0,KL5-KRZ-7AY|7CF-DS3-MDW|GFZ-FFC-4PL,GFZ-FFC-4PL|7CF-DS3-MDW|GFZ-FFC-4PL,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0008,position,90,True,0.0,0.0,0.6667,partial_triplet,4.370503,36304.0,28.0,PYK-795-52S|MZA-KUY-5V6|JJZ-X5R-76R,JJZ-X5R-76R|MZA-KUY-5V6|JJZ-X5R-76R,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
PAC-A_position,qwen35_9b,pac2_A_position_v5_pos90_decoy64_0009,position,90,True,0.0,0.0,0.3333,decoy_value_capture,6.640991,36295.0,29.0,95P-L9U-635|686-4EP-PG3|DWU-2TC-NXJ,6T6-4EP-PG3|DWU-2TC-NXJ|9JP-L9U-635,,results\raw\pac_v21_queue\pac_v21_full_queue\PAC-A_position\qwen35_9b.jsonl
